ecol_01wt,sent
PLFEKH_06075,NP_461496.1
PLFEKH_06080,NP_461491.1
PLFEKH_06085,NP_461490.1
PLFEKH_06155,NP_462036.1
PLFEKH_06160,NP_461489.1
PLFEKH_06165,NP_461488.1
PLFEKH_06170,NP_461482.1
PLFEKH_06175,NP_461481.1
PLFEKH_06180,NP_461480.1
PLFEKH_06190,NP_461479.1
PLFEKH_06195,NP_461478.1
PLFEKH_06200,NP_461477.1
PLFEKH_06205,NP_461476.1
PLFEKH_06210,NP_461475.1
PLFEKH_06215,NP_461474.1
PLFEKH_06220,NP_461473.1
PLFEKH_06225,NP_461472.1
PLFEKH_06230,NP_461471.1
PLFEKH_06235,NP_461470.3
PLFEKH_06250,NP_461468.1
PLFEKH_06255,NP_461467.1
PLFEKH_06260,NP_461466.1
PLFEKH_06265,NP_461461.1
PLFEKH_06270,NP_461460.1
PLFEKH_06275,NP_461459.1
PLFEKH_06280,NP_461458.1
PLFEKH_06290,NP_461457.1
PLFEKH_06295,NP_461456.1
PLFEKH_06300,NP_461455.1
PLFEKH_06305,NP_461454.1
PLFEKH_06310,NP_461453.1
PLFEKH_06315,NP_461447.1
PLFEKH_06320,NP_461446.1
PLFEKH_06325,NP_461445.1
PLFEKH_06340,NP_461441.1
PLFEKH_06350,NP_461438.1
PLFEKH_06355,NP_461437.1
PLFEKH_06360,NP_461436.1
PLFEKH_06365,NP_461435.1
PLFEKH_06370,NP_461434.3
PLFEKH_06375,NP_461433.1
PLFEKH_06385,NP_461431.1
PLFEKH_06395,NP_461429.1
PLFEKH_06400,NP_461428.1
PLFEKH_06465,NP_461426.1
PLFEKH_06470,NP_461425.3
PLFEKH_06475,NP_461424.1
PLFEKH_06480,NP_461423.1
PLFEKH_06490,NP_461422.1
PLFEKH_06495,NP_461421.1
PLFEKH_06500,NP_461420.1
PLFEKH_06520,NP_461419.1
PLFEKH_06525,NP_461418.1
PLFEKH_06530,NP_461417.1
PLFEKH_06540,NP_461416.1
PLFEKH_06545,NP_461415.1
PLFEKH_06555,NP_461412.1
PLFEKH_06560,NP_461411.1
PLFEKH_06565,NP_461409.1
PLFEKH_06570,NP_461408.1
PLFEKH_06575,NP_461407.1
PLFEKH_06580,NP_461405.1
PLFEKH_06585,NP_461404.1
PLFEKH_06590,NP_461403.1
PLFEKH_06595,NP_461402.1
PLFEKH_06600,NP_461401.1
PLFEKH_06605,NP_461400.1
PLFEKH_06610,NP_461399.3
PLFEKH_06615,NP_461398.1
PLFEKH_06620,NP_461397.1
PLFEKH_06625,NP_461396.1
PLFEKH_06635,NP_461395.1
PLFEKH_06640,NP_461394.1
PLFEKH_06645,NP_461393.1
PLFEKH_06650,NP_461392.1
PLFEKH_06655,NP_461391.1
PLFEKH_06660,NP_461390.1
PLFEKH_06665,NP_461389.1
PLFEKH_06670,NP_461386.1
PLFEKH_06675,NP_461385.1
PLFEKH_06685,NP_461383.1
PLFEKH_06690,NP_461382.1
PLFEKH_06695,NP_461381.1
PLFEKH_06700,NP_461413.1
PLFEKH_06710,NP_461506.1
PLFEKH_06725,NP_461379.1
PLFEKH_06730,NP_461378.1
PLFEKH_06735,NP_461377.1
PLFEKH_06740,NP_461376.1
PLFEKH_06745,NP_461375.1
PLFEKH_06760,NP_461373.2
PLFEKH_06765,NP_461370.1
PLFEKH_06770,NP_461368.1
PLFEKH_06775,NP_461367.1
PLFEKH_06780,NP_461366.1
PLFEKH_06785,NP_461365.1
PLFEKH_06790,NP_461364.1
PLFEKH_06800,NP_461362.1
PLFEKH_06805,NP_461361.3
PLFEKH_06810,NP_461360.2
PLFEKH_06820,NP_461358.1
PLFEKH_06825,NP_448816.1
PLFEKH_06830,NP_461356.1
PLFEKH_06835,NP_461355.1
PLFEKH_06860,NP_461354.1
PLFEKH_06865,NP_461353.1
PLFEKH_06870,NP_461352.1
PLFEKH_06885,NP_461351.1
PLFEKH_06910,NP_461349.1
PLFEKH_06915,NP_461348.1
PLFEKH_06920,NP_461345.1
PLFEKH_06925,NP_461344.1
PLFEKH_06970,NP_461343.1
PLFEKH_06980,NP_461342.1
PLFEKH_06985,NP_461341.1
PLFEKH_07045,NP_462703.1
PLFEKH_07050,NP_462702.1
PLFEKH_07055,NP_462701.1
PLFEKH_07110,NP_461176.1
PLFEKH_07125,NP_459551.1
PLFEKH_07155,NP_461335.1
PLFEKH_07160,NP_461334.1
PLFEKH_07170,NP_461333.1
PLFEKH_07180,NP_461331.2
PLFEKH_07185,NP_461330.1
PLFEKH_07190,NP_461329.1
PLFEKH_07195,NP_459200.1
PLFEKH_07210,NP_459202.1
PLFEKH_07215,NP_459203.1
PLFEKH_07220,NP_459204.1
PLFEKH_07225,NP_459205.1
PLFEKH_07230,NP_459206.1
PLFEKH_07235,NP_461328.1
PLFEKH_07240,NP_461327.1
PLFEKH_07245,NP_461326.1
PLFEKH_07250,NP_461325.1
PLFEKH_07255,NP_461324.1
PLFEKH_07260,NP_461323.1
PLFEKH_07265,NP_461322.1
PLFEKH_07270,NP_461321.3
PLFEKH_07275,NP_461320.1
PLFEKH_07280,NP_461314.1
PLFEKH_07285,NP_461313.1
PLFEKH_07290,NP_461312.1
PLFEKH_07295,NP_461311.1
PLFEKH_07300,NP_461310.1
PLFEKH_07305,NP_461309.1
PLFEKH_07310,NP_461308.1
PLFEKH_07315,NP_461307.1
PLFEKH_07320,NP_461306.1
PLFEKH_07325,NP_461305.1
PLFEKH_07330,NP_461304.1
PLFEKH_07335,NP_461298.1
PLFEKH_07340,NP_461297.1
PLFEKH_07345,NP_461296.1
PLFEKH_07350,NP_461295.1
PLFEKH_07355,NP_461294.1
PLFEKH_07360,NP_461293.1
PLFEKH_07370,NP_461292.1
PLFEKH_07380,NP_461291.1
PLFEKH_07385,NP_461290.1
PLFEKH_07390,NP_461289.1
PLFEKH_07395,NP_461288.1
PLFEKH_07400,NP_461281.1
PLFEKH_07405,NP_461280.1
PLFEKH_07410,NP_461279.1
PLFEKH_07415,NP_461278.1
PLFEKH_07420,NP_461277.1
PLFEKH_07425,NP_461276.3
PLFEKH_07430,NP_461275.1
PLFEKH_07435,NP_461274.1
PLFEKH_07440,NP_461273.1
PLFEKH_07445,NP_461272.1
PLFEKH_07455,NP_461270.1
PLFEKH_07460,NP_461269.1
PLFEKH_07465,NP_461268.1
PLFEKH_07470,NP_461267.1
PLFEKH_07475,NP_461266.1
PLFEKH_07480,NP_461265.3
PLFEKH_07485,NP_461264.1
PLFEKH_07490,NP_461263.1
PLFEKH_07495,NP_461262.1
PLFEKH_07500,NP_461261.1
PLFEKH_07505,NP_461260.1
PLFEKH_07510,NP_461259.1
PLFEKH_07515,NP_461258.3
PLFEKH_07545,NP_461257.1
PLFEKH_07550,NP_461229.3
PLFEKH_07555,NP_461255.1
PLFEKH_07560,NP_461254.1
PLFEKH_07565,NP_461253.3
PLFEKH_07570,NP_461252.1
PLFEKH_07575,NP_461251.1
PLFEKH_07580,NP_461250.1
PLFEKH_07585,NP_461249.1
PLFEKH_07590,NP_461248.1
PLFEKH_07595,NP_461247.1
PLFEKH_07600,NP_461246.1
PLFEKH_07605,NP_461245.1
PLFEKH_07610,NP_461244.1
PLFEKH_07615,NP_461243.1
PLFEKH_07620,NP_461242.1
PLFEKH_07625,NP_461241.1
PLFEKH_07630,NP_461240.1
PLFEKH_07635,NP_461239.3
PLFEKH_07640,NP_461238.1
PLFEKH_07645,NP_461237.1
PLFEKH_07650,NP_461236.1
PLFEKH_07655,NP_461235.1
PLFEKH_07660,NP_461234.1
PLFEKH_07665,NP_461233.1
PLFEKH_07670,NP_461232.1
PLFEKH_07675,NP_461231.1
PLFEKH_07695,NP_461227.1
PLFEKH_07700,NP_461226.1
PLFEKH_07705,NP_461225.1
PLFEKH_07710,NP_461224.1
PLFEKH_07725,NP_461221.1
PLFEKH_07730,NP_461220.1
PLFEKH_07740,NP_461219.1
PLFEKH_07750,NP_461218.1
PLFEKH_07755,NP_461214.1
PLFEKH_07820,NP_461213.1
PLFEKH_07835,NP_461212.1
PLFEKH_07840,NP_461211.1
PLFEKH_07850,NP_461210.1
PLFEKH_07855,NP_461209.1
PLFEKH_07860,NP_461208.1
PLFEKH_07865,NP_461207.1
PLFEKH_07870,NP_461206.1
PLFEKH_07910,NP_461205.1
PLFEKH_07925,NP_461204.1
PLFEKH_07930,NP_461203.1
PLFEKH_07935,NP_461202.1
PLFEKH_07940,NP_461201.1
PLFEKH_07950,NP_461199.1
PLFEKH_07955,NP_461198.1
PLFEKH_07960,NP_462719.1
PLFEKH_08000,NP_461189.1
PLFEKH_08020,NP_461172.1
PLFEKH_08025,NP_461171.1
PLFEKH_08030,NP_461170.1
PLFEKH_08035,NP_461168.1
PLFEKH_08040,NP_461167.1
PLFEKH_08045,NP_461166.1
PLFEKH_08050,NP_461165.1
PLFEKH_08055,NP_461164.1
PLFEKH_08060,NP_461163.1
PLFEKH_08065,NP_461162.1
PLFEKH_08070,NP_461161.1
PLFEKH_08075,NP_461160.1
PLFEKH_08080,NP_461159.1
PLFEKH_08085,NP_461158.1
PLFEKH_08090,NP_461157.1
PLFEKH_08095,NP_461156.1
PLFEKH_08120,NP_461151.1
PLFEKH_08125,NP_461150.1
PLFEKH_08130,NP_461149.1
PLFEKH_08170,NP_461148.1
PLFEKH_08175,NP_461147.1
PLFEKH_08180,NP_461146.1
PLFEKH_08185,NP_461145.1
PLFEKH_08190,NP_461144.1
PLFEKH_08200,NP_461138.1
PLFEKH_08205,NP_461137.1
PLFEKH_08210,NP_461136.1
PLFEKH_08225,NP_461133.1
PLFEKH_08235,NP_461132.1
PLFEKH_08240,NP_461131.1
PLFEKH_08245,NP_461130.1
PLFEKH_08250,NP_461129.1
PLFEKH_08255,NP_461128.1
PLFEKH_08260,NP_461127.1
PLFEKH_08265,NP_461126.1
PLFEKH_08270,NP_461119.1
PLFEKH_08285,NP_461116.1
PLFEKH_08290,NP_461115.1
PLFEKH_08295,NP_461114.1
PLFEKH_08300,NP_461113.1
PLFEKH_08305,NP_461112.1
PLFEKH_08310,NP_461111.1
PLFEKH_08315,NP_461110.1
PLFEKH_08320,NP_461109.1
PLFEKH_08325,NP_461108.1
PLFEKH_08330,NP_461107.1
PLFEKH_08335,NP_461106.1
PLFEKH_08355,NP_461102.1
PLFEKH_08360,NP_461100.1
PLFEKH_08415,NP_461099.1
PLFEKH_08420,NP_461098.1
PLFEKH_08425,NP_461097.1
PLFEKH_08430,NP_461096.1
PLFEKH_08435,NP_461095.1
PLFEKH_08445,NP_461093.1
PLFEKH_08450,NP_461092.1
PLFEKH_08455,NP_461941.1
PLFEKH_08460,NP_461940.1
PLFEKH_08465,NP_461091.1
PLFEKH_08470,NP_461090.1
PLFEKH_08485,NP_461088.1
PLFEKH_08490,NP_461087.1
PLFEKH_08495,NP_461086.1
PLFEKH_08500,NP_461085.1
PLFEKH_08535,NP_462171.1
PLFEKH_08540,NP_462172.1
PLFEKH_08545,NP_462173.1
PLFEKH_08550,NP_462174.1
PLFEKH_08575,NP_461084.1
PLFEKH_08585,NP_461622.1
PLFEKH_08595,NP_461080.1
PLFEKH_08605,NP_461076.1
PLFEKH_08610,NP_461075.1
PLFEKH_08615,NP_461074.1
PLFEKH_08620,NP_461073.1
PLFEKH_08625,NP_461072.1
PLFEKH_08630,NP_461071.1
PLFEKH_08680,NP_461070.1
PLFEKH_08685,NP_461069.1
PLFEKH_08695,NP_461067.1
PLFEKH_08700,NP_461066.1
PLFEKH_08705,NP_461065.1
PLFEKH_08710,NP_461064.1
PLFEKH_08730,NP_461060.1
PLFEKH_08735,NP_461059.1
PLFEKH_08740,NP_461058.1
PLFEKH_08745,NP_461057.1
PLFEKH_08750,NP_461056.1
PLFEKH_08755,NP_461055.1
PLFEKH_08760,NP_461054.1
PLFEKH_08765,NP_461053.1
PLFEKH_08775,NP_461051.1
PLFEKH_08780,NP_461050.3
PLFEKH_08785,NP_461049.1
PLFEKH_08790,NP_461048.1
PLFEKH_08795,NP_461047.1
PLFEKH_08805,NP_461046.1
PLFEKH_08810,NP_461045.1
PLFEKH_08815,NP_461044.1
PLFEKH_08820,NP_461043.1
PLFEKH_08825,NP_461042.1
PLFEKH_08830,NP_461041.1
PLFEKH_08840,NP_461039.1
PLFEKH_08850,NP_459704.1
PLFEKH_08890,NP_461026.1
PLFEKH_08895,NP_461025.1
PLFEKH_08900,NP_461024.1
PLFEKH_08905,NP_461023.1
PLFEKH_08910,NP_461022.1
PLFEKH_08915,NP_461021.1
PLFEKH_08920,NP_461020.3
PLFEKH_08925,NP_461019.1
PLFEKH_08930,NP_461018.1
PLFEKH_08935,NP_461017.1
PLFEKH_08940,NP_461016.1
PLFEKH_08960,NP_461015.1
PLFEKH_08965,NP_461014.1
PLFEKH_08995,NP_461012.1
PLFEKH_09000,NP_461007.1
PLFEKH_09005,NP_461006.1
PLFEKH_09010,NP_461005.1
PLFEKH_09020,NP_461004.1
PLFEKH_09090,NP_460963.1
PLFEKH_09095,NP_460962.1
PLFEKH_09100,NP_460961.1
PLFEKH_09105,NP_460960.1
PLFEKH_09115,NP_459677.1
PLFEKH_09130,NP_460959.1
PLFEKH_09140,NP_463358.3
PLFEKH_09145,NP_460956.1
PLFEKH_09150,NP_459217.1
PLFEKH_09175,NP_460951.1
PLFEKH_09185,NP_460220.1
PLFEKH_09190,NP_460229.3
PLFEKH_09195,NP_462288.1
PLFEKH_09200,NP_462287.1
PLFEKH_09205,NP_460070.1
PLFEKH_09215,NP_447527.1
PLFEKH_09245,NP_460945.1
PLFEKH_09250,NP_460944.1
PLFEKH_09255,NP_460943.1
PLFEKH_09260,NP_460942.1
PLFEKH_09265,NP_460941.1
PLFEKH_09270,NP_460940.1
PLFEKH_09280,NP_460938.1
PLFEKH_09285,NP_460937.1
PLFEKH_09295,NP_460936.1
PLFEKH_09305,NP_460935.1
PLFEKH_09310,NP_460934.1
PLFEKH_09315,NP_460933.1
PLFEKH_09320,NP_460932.1
PLFEKH_09325,NP_460931.3
PLFEKH_09330,NP_460930.1
PLFEKH_09335,NP_460929.1
PLFEKH_09340,NP_460928.1
PLFEKH_09345,NP_460927.1
PLFEKH_09350,NP_460926.1
PLFEKH_09355,NP_460925.1
PLFEKH_09360,NP_460924.1
PLFEKH_09365,NP_460923.1
PLFEKH_09370,NP_460922.1
PLFEKH_09375,NP_460921.1
PLFEKH_09395,NP_460027.1
PLFEKH_09400,NP_460919.1
PLFEKH_09405,NP_460918.3
PLFEKH_09410,NP_460917.1
PLFEKH_09415,NP_460916.1
PLFEKH_09420,NP_460915.1
PLFEKH_09425,NP_460914.1
PLFEKH_09430,NP_460913.1
PLFEKH_09435,NP_461698.1
PLFEKH_09445,NP_460909.1
PLFEKH_09450,NP_460908.1
PLFEKH_09455,NP_460907.1
PLFEKH_09460,NP_460906.1
PLFEKH_09465,NP_460905.1
PLFEKH_09470,NP_460904.1
PLFEKH_09475,NP_460903.1
PLFEKH_09480,NP_460902.1
PLFEKH_09485,NP_460900.1
PLFEKH_09490,NP_460899.1
PLFEKH_09495,NP_460898.1
PLFEKH_09515,NP_460894.1
PLFEKH_09520,NP_460893.1
PLFEKH_09525,NP_460892.1
PLFEKH_09530,NP_460891.1
PLFEKH_09535,NP_460890.1
PLFEKH_09550,NP_460888.1
PLFEKH_09570,NP_460886.1
PLFEKH_09575,NP_460885.1
PLFEKH_09580,NP_460884.1
PLFEKH_09585,NP_460882.1
PLFEKH_09590,NP_460881.3
PLFEKH_09595,NP_460880.1
PLFEKH_09600,NP_460879.1
PLFEKH_09605,NP_460878.1
PLFEKH_09610,NP_460877.1
PLFEKH_09620,NP_460876.1
PLFEKH_09630,NP_460875.1
PLFEKH_09635,NP_460874.1
PLFEKH_09640,NP_460873.1
PLFEKH_09645,NP_460872.1
PLFEKH_09650,NP_460871.1
PLFEKH_09660,NP_460869.1
PLFEKH_09675,NP_460866.1
PLFEKH_09680,NP_460865.1
PLFEKH_09685,NP_460864.1
PLFEKH_09710,NP_460863.1
PLFEKH_09715,NP_460862.1
PLFEKH_09720,NP_460861.1
PLFEKH_09725,NP_460860.1
PLFEKH_09735,NP_460858.1
PLFEKH_09740,NP_460857.1
PLFEKH_09745,NP_460856.1
PLFEKH_09755,NP_460855.1
PLFEKH_09770,NP_460852.1
PLFEKH_09775,NP_460851.1
PLFEKH_09780,NP_460850.1
PLFEKH_09785,NP_460849.3
PLFEKH_09790,NP_460848.3
PLFEKH_09795,NP_460847.1
PLFEKH_09800,NP_460846.1
PLFEKH_09805,NP_460845.1
PLFEKH_09810,NP_460844.1
PLFEKH_09820,NP_460843.1
PLFEKH_09825,NP_460842.1
PLFEKH_09830,NP_460841.1
PLFEKH_09835,NP_460840.1
PLFEKH_09840,NP_460839.1
PLFEKH_09845,NP_460838.1
PLFEKH_09855,NP_460837.1
PLFEKH_09860,NP_460836.1
PLFEKH_09865,NP_460835.1
PLFEKH_09870,NP_460834.1
PLFEKH_09875,NP_460833.1
PLFEKH_09880,NP_460832.1
PLFEKH_09885,NP_460831.1
PLFEKH_09890,NP_460830.1
PLFEKH_09905,NP_460809.1
PLFEKH_09915,NP_460807.1
PLFEKH_09920,NP_460806.1
PLFEKH_09925,NP_460805.1
PLFEKH_09930,NP_460804.1
PLFEKH_09935,NP_460803.1
PLFEKH_09940,NP_460802.1
PLFEKH_09945,NP_460801.1
PLFEKH_09950,NP_460800.1
PLFEKH_09955,NP_460799.1
PLFEKH_09960,NP_460798.1
PLFEKH_09965,NP_460797.1
PLFEKH_09970,NP_460795.1
PLFEKH_09980,NP_460791.1
PLFEKH_09985,NP_460790.1
PLFEKH_09990,NP_460789.1
PLFEKH_10000,NP_460787.1
PLFEKH_10005,NP_460786.1
PLFEKH_10015,NP_460784.2
PLFEKH_10020,NP_460783.3
PLFEKH_10025,NP_460782.1
PLFEKH_10030,NP_460781.1
PLFEKH_10035,NP_460780.1
PLFEKH_10040,NP_460779.1
PLFEKH_10045,NP_459322.1
PLFEKH_10050,NP_460778.1
PLFEKH_10055,NP_460777.1
PLFEKH_10060,NP_460776.1
PLFEKH_10070,NP_460774.1
PLFEKH_10080,NP_460773.1
PLFEKH_10110,NP_460236.1
PLFEKH_10115,NP_460237.1
PLFEKH_10120,NP_460238.1
PLFEKH_10125,NP_460240.1
PLFEKH_10140,NP_460241.1
PLFEKH_10145,NP_460243.1
PLFEKH_10150,NP_460244.1
PLFEKH_10155,NP_460245.1
PLFEKH_10160,NP_460246.2
PLFEKH_10165,NP_460248.1
PLFEKH_10170,NP_460249.1
PLFEKH_10180,NP_460250.1
PLFEKH_10185,NP_460251.1
PLFEKH_10195,NP_460254.1
PLFEKH_10200,NP_460255.1
PLFEKH_10205,NP_460256.1
PLFEKH_10210,NP_460257.1
PLFEKH_10215,NP_460258.1
PLFEKH_10260,NP_460259.1
PLFEKH_10265,NP_460260.1
PLFEKH_10270,NP_460261.1
PLFEKH_10275,NP_460262.1
PLFEKH_10280,NP_460263.1
PLFEKH_10285,NP_460264.1
PLFEKH_10295,NP_460265.1
PLFEKH_10300,NP_460266.1
PLFEKH_10305,NP_460267.1
PLFEKH_10355,NP_460268.1
PLFEKH_10360,NP_460269.1
PLFEKH_10365,NP_460270.1
PLFEKH_10370,NP_460271.1
PLFEKH_10375,NP_460272.1
PLFEKH_10380,NP_460273.1
PLFEKH_10385,NP_460274.1
PLFEKH_10395,NP_460275.1
PLFEKH_10405,NP_460276.1
PLFEKH_10410,NP_460277.1
PLFEKH_10415,NP_460278.1
PLFEKH_10420,NP_460279.1
PLFEKH_10425,NP_460280.1
PLFEKH_10430,NP_460281.1
PLFEKH_10435,NP_460282.1
PLFEKH_10440,NP_460283.1
PLFEKH_10450,NP_460284.1
PLFEKH_10455,NP_460285.1
PLFEKH_10465,NP_460286.1
PLFEKH_10470,NP_460287.3
PLFEKH_10475,NP_460288.1
PLFEKH_10480,NP_460289.1
PLFEKH_10485,NP_460290.1
PLFEKH_10490,NP_460291.1
PLFEKH_10495,NP_460292.1
PLFEKH_10500,NP_460293.1
PLFEKH_10520,NP_460299.1
PLFEKH_10525,NP_460300.3
PLFEKH_10530,NP_460301.1
PLFEKH_10535,NP_460302.1
PLFEKH_10545,NP_460303.1
PLFEKH_10550,NP_460304.1
PLFEKH_10555,NP_460305.1
PLFEKH_10565,NP_460306.1
PLFEKH_10570,NP_460307.1
PLFEKH_10575,NP_460308.1
PLFEKH_10580,NP_460309.1
PLFEKH_10585,NP_460310.1
PLFEKH_10590,NP_460311.1
PLFEKH_10595,NP_460312.1
PLFEKH_10600,NP_460313.1
PLFEKH_10605,NP_460314.1
PLFEKH_10610,NP_460315.1
PLFEKH_10615,NP_460316.1
PLFEKH_10620,NP_460317.1
PLFEKH_10625,NP_460318.1
PLFEKH_10630,NP_460319.1
PLFEKH_10635,NP_460320.1
PLFEKH_10645,NP_460321.1
PLFEKH_10650,NP_460322.1
PLFEKH_10655,NP_460323.3
PLFEKH_10660,NP_460324.1
PLFEKH_10665,NP_460325.1
PLFEKH_10670,NP_460326.1
PLFEKH_10675,NP_460327.1
PLFEKH_10680,NP_460328.1
PLFEKH_10690,NP_460329.1
PLFEKH_10695,NP_460330.1
PLFEKH_10700,NP_460331.1
PLFEKH_10705,NP_460332.1
PLFEKH_10715,NP_460334.1
PLFEKH_10720,NP_460335.1
PLFEKH_10725,NP_460336.1
PLFEKH_10730,NP_460337.1
PLFEKH_10735,NP_460338.1
PLFEKH_10740,NP_460339.1
PLFEKH_10745,NP_460340.1
PLFEKH_10755,NP_460343.1
PLFEKH_10760,NP_460353.1
PLFEKH_10785,NP_461008.1
PLFEKH_10800,NP_462364.1
PLFEKH_10825,NP_460388.2
PLFEKH_10830,NP_460389.1
PLFEKH_10835,NP_460390.1
PLFEKH_10840,NP_460391.1
PLFEKH_10845,NP_460392.1
PLFEKH_10865,NP_459255.1
PLFEKH_10870,NP_460394.1
PLFEKH_10875,NP_460395.1
PLFEKH_10880,NP_460396.1
PLFEKH_10890,NP_460397.1
PLFEKH_10895,NP_460398.1
PLFEKH_10900,NP_460399.1
PLFEKH_10905,NP_460400.1
PLFEKH_10910,NP_460401.1
PLFEKH_10915,NP_460402.1
PLFEKH_10920,NP_460403.1
PLFEKH_10925,NP_460404.1
PLFEKH_10935,NP_460406.1
PLFEKH_10940,NP_460407.3
PLFEKH_10945,NP_460408.1
PLFEKH_10950,NP_460409.1
PLFEKH_10955,NP_460410.1
PLFEKH_10960,NP_460411.1
PLFEKH_10965,NP_460412.1
PLFEKH_10970,NP_460413.1
PLFEKH_10980,NP_460415.1
PLFEKH_10990,NP_460416.1
PLFEKH_10995,NP_460417.1
PLFEKH_11000,NP_460418.1
PLFEKH_11005,NP_460419.1
PLFEKH_11010,NP_460420.1
PLFEKH_11015,NP_460421.1
PLFEKH_11020,NP_460422.1
PLFEKH_11025,NP_460423.1
PLFEKH_11030,NP_460424.3
PLFEKH_11035,NP_460425.3
PLFEKH_11040,NP_460426.1
PLFEKH_11045,NP_460516.1
PLFEKH_11050,NP_461685.1
PLFEKH_11055,NP_460514.1
PLFEKH_11090,NP_460428.1
PLFEKH_11095,NP_460429.2
PLFEKH_11100,NP_460430.1
PLFEKH_11105,NP_460431.1
PLFEKH_11110,NP_460432.1
PLFEKH_11115,NP_460435.1
PLFEKH_11120,NP_460436.1
PLFEKH_11130,NP_460437.1
PLFEKH_11135,NP_460438.1
PLFEKH_11140,NP_460439.1
PLFEKH_11145,NP_460440.1
PLFEKH_11150,NP_460441.1
PLFEKH_11155,NP_460442.1
PLFEKH_11160,NP_460443.1
PLFEKH_11165,NP_460444.1
PLFEKH_11180,NP_460446.1
PLFEKH_11185,NP_460447.1
PLFEKH_11195,NP_460449.1
PLFEKH_11200,NP_460450.3
PLFEKH_11205,NP_460455.1
PLFEKH_11210,NP_460456.1
PLFEKH_11220,NP_460458.1
PLFEKH_11225,NP_460459.1
PLFEKH_11230,NP_460460.1
PLFEKH_11235,NP_460461.3
PLFEKH_11240,NP_460462.1
PLFEKH_11245,NP_460463.1
PLFEKH_11250,NP_460464.1
PLFEKH_11255,NP_460465.1
PLFEKH_11260,NP_460466.1
PLFEKH_11265,NP_459869.1
PLFEKH_11280,NP_460808.1
PLFEKH_11340,NP_463310.1
PLFEKH_11345,NP_463311.1
PLFEKH_11360,NP_461183.1
PLFEKH_11365,NP_459880.1
PLFEKH_11375,NP_460213.1
PLFEKH_11405,NP_460825.1
PLFEKH_11470,NP_460469.1
PLFEKH_11475,NP_460470.1
PLFEKH_11480,NP_460471.1
PLFEKH_11485,NP_460472.1
PLFEKH_11490,NP_460474.1
PLFEKH_11495,NP_460475.1
PLFEKH_11515,NP_460476.1
PLFEKH_11520,NP_460477.1
PLFEKH_11525,NP_460478.1
PLFEKH_11530,NP_460479.4
PLFEKH_11535,NP_460480.1
PLFEKH_11540,NP_460481.1
PLFEKH_11545,NP_460482.1
PLFEKH_11555,NP_460483.1
PLFEKH_11560,NP_460484.1
PLFEKH_11570,NP_460486.1
PLFEKH_11585,NP_460487.1
PLFEKH_11595,NP_462960.3
PLFEKH_11600,NP_462959.1
PLFEKH_11605,NP_462958.1
PLFEKH_11610,NP_462957.1
PLFEKH_11615,NP_462956.1
PLFEKH_11620,NP_462955.1
PLFEKH_11690,NP_459040.1
PLFEKH_11695,NP_460253.1
PLFEKH_11720,NP_461301.1
PLFEKH_11745,NP_460558.1
PLFEKH_11775,NP_460522.1
PLFEKH_11780,NP_460523.1
PLFEKH_11785,NP_460524.1
PLFEKH_11790,NP_460525.1
PLFEKH_11795,NP_460526.1
PLFEKH_11805,NP_460527.1
PLFEKH_11810,NP_460528.1
PLFEKH_11820,NP_460530.3
PLFEKH_11840,NP_460535.1
PLFEKH_11845,NP_460536.1
PLFEKH_11850,NP_460537.1
PLFEKH_11855,NP_460538.1
PLFEKH_11860,NP_460539.1
PLFEKH_11865,NP_460540.1
PLFEKH_11870,NP_460541.1
PLFEKH_11915,NP_460543.1
PLFEKH_11920,NP_460545.1
PLFEKH_11930,NP_460547.1
PLFEKH_11935,NP_460548.1
PLFEKH_11940,NP_460549.1
PLFEKH_11945,NP_460550.1
PLFEKH_11950,NP_460551.1
PLFEKH_11960,NP_460556.3
PLFEKH_12005,NP_460563.1
PLFEKH_12010,NP_460564.1
PLFEKH_12015,NP_460565.1
PLFEKH_12020,NP_461535.1
PLFEKH_12030,NP_460566.1
PLFEKH_12035,NP_460567.1
PLFEKH_12040,NP_460568.1
PLFEKH_12045,NP_460569.1
PLFEKH_12050,NP_460570.1
PLFEKH_12060,NP_460581.1
PLFEKH_12065,NP_460583.1
PLFEKH_12070,NP_460584.1
PLFEKH_12075,NP_460585.2
PLFEKH_12105,NP_460598.1
PLFEKH_12130,NP_460599.1
PLFEKH_12135,NP_460600.3
PLFEKH_12140,NP_460601.1
PLFEKH_12280,NP_462044.1
PLFEKH_12290,NP_460603.1
PLFEKH_12295,NP_460604.1
PLFEKH_12300,NP_460605.1
PLFEKH_12305,NP_460606.1
PLFEKH_12310,NP_460607.1
PLFEKH_12320,NP_460610.1
PLFEKH_12330,NP_460434.1
PLFEKH_12335,NP_460611.1
PLFEKH_12450,NP_461565.1
PLFEKH_12480,NP_459870.1
PLFEKH_12485,NP_459980.1
PLFEKH_12490,NP_460613.1
PLFEKH_12495,NP_460614.1
PLFEKH_12510,NP_460615.1
PLFEKH_12525,NP_460617.1
PLFEKH_12555,NP_460618.1
PLFEKH_12560,NP_460619.3
PLFEKH_12565,NP_460620.1
PLFEKH_12570,NP_460621.1
PLFEKH_12580,NP_460622.1
PLFEKH_12585,NP_460637.1
PLFEKH_12610,NP_460638.1
PLFEKH_12615,NP_460639.1
PLFEKH_12620,NP_460640.1
PLFEKH_12625,NP_460641.1
PLFEKH_12630,NP_460642.1
